City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
413,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
415,Basoko,CD,77.79,broken clouds,1.2391,23.616,Jackyna Hotel
417,Namibe,AO,73.09,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
418,Vazante,BR,70.34,moderate rain,-17.9869,-46.9078,Hotel Pousada e Restaurante
422,Sao Filipe,CV,77.61,overcast clouds,14.8961,-24.4956,Hotel Xaguate
423,Maragogi,BR,80.51,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
426,Santa Isabel,BR,72.7,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
427,Xai-Xai,MZ,70.03,clear sky,-25.0519,33.6442,Complexo da Familia
428,Bonthe,SL,78.28,clear sky,7.5264,-12.505,Bonthe Holiday Village
434,Rio Grande,BR,80.71,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
436,Warri,NG,78.37,broken clouds,5.5167,5.75,BON Hotel Delta
437,Arica,CL,78.35,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
439,Vaitape,PF,81.68,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
443,Nsanje,MW,73.58,broken clouds,-16.92,35.262,Nsanje Discovery Lodge
447,Katobu,ID,74.44,overcast clouds,-4.9408,122.5276,La Ode Husein
448,Ikom,NG,74.41,clear sky,5.9667,8.7063,Reho Farm & Resort
454,Muli,MV,81.07,broken clouds,2.9167,73.5667,Medhufushi Island Resort
455,Jacksonville,US,70.03,smoke,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
456,Kralendijk,BQ,82.38,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
457,Hobyo,SO,75.34,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
458,Tual,ID,80.65,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
465,Caravelas,BR,78.15,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
467,Byron Bay,AU,75.15,few clouds,-28.65,153.6167,Backpackers Inn
470,Paramonga,PE,73.58,broken clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
473,Dawei,MM,72.97,few clouds,14.0833,98.2,Hotel Dawei
475,Port Hedland,AU,80.65,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
486,Dakar,SN,81.48,few clouds,14.6937,-17.4441,Redface Studios Meublés
487,Carolina,PR,81.75,scattered clouds,18.3808,-65.9574,Motel Fantasy Star
492,Gaoual,GN,80.11,clear sky,11.75,-13.2,Hotel koliba
496,Chimbote,PE,74.12,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
499,Angoche,MZ,78.12,broken clouds,-16.2325,39.9086,Guest House HESADA
503,Lorengau,PG,81.37,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
505,Cabedelo,BR,83.07,few clouds,-6.9811,-34.8339,Hotel Pigalle
510,Mackay,AU,77.68,scattered clouds,-21.15,149.2,International Lodge Motel
511,Cabinda,AO,77.79,clear sky,-5.55,12.2,Hotel Maiombe
513,Pontianak,ID,75.18,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
516,Labuan,MY,77.36,light rain,5.2767,115.2417,Tiara Labuan Hotel
519,Sigli,ID,77.59,overcast clouds,5.3848,95.9609,Losmen Dua Mali
524,San Rafael,AR,81.99,broken clouds,-34.6177,-68.3301,Hotel San Rafael
528,Barahona,DO,85.82,few clouds,18.2085,-71.1008,Hotel Caribe
529,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
530,Mandera,KE,81.36,clear sky,3.9366,41.867,Mwalimu Guest mandera
532,Guanica,PR,83.32,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
534,Waingapu,ID,76.89,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
537,De Aar,ZA,73.36,clear sky,-30.6497,24.0123,Nyibiba Guesthouse
539,Gamboma,CG,79.36,broken clouds,-1.8764,15.8644,Residence N'Keni
543,Ankazoabo,MG,74.79,few clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
548,Antofagasta,CL,70.88,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
549,Pedreiras,BR,74.62,overcast clouds,-4.5688,-44.6003,Hotel Princesa do Mearim
555,Tebingtinggi,ID,73.45,overcast clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
560,Honiara,SB,82.11,moderate rain,-9.4333,159.95,Heritage Park Hotel
564,Kikwit,CD,73.53,light rain,-5.041,18.8162,HOTEL PLACE YALABA
571,Port Macquarie,AU,71.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
572,Isangel,VU,81.34,overcast clouds,-19.55,169.2667,Tanna Lodge
578,Samarai,PG,82.49,broken clouds,-10.6167,150.6667,Nuli Sapi
582,Villa Union,MX,75.16,clear sky,23.2,-106.2333,My Fantasy Auto-Hotel
586,Ukiah,US,82.44,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
587,Sawtell,AU,70.18,scattered clouds,-30.3833,153.1,The Bungalow Sawtell
601,Pedernales,DO,80.78,clear sky,18.0384,-71.744,Hotel Costa Marina
602,Cabreuva,BR,72.99,overcast clouds,-23.3075,-47.1328,Unahy Cabreúva
607,Kavaratti,IN,79.03,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
609,Barra Do Garcas,BR,71.29,light rain,-15.89,-52.2567,Pousada Tropical
612,Dargaville,NZ,78.71,overcast clouds,-35.9333,173.8833,Parkview Motel
616,Trinidad,BO,93.18,scattered clouds,-14.8333,-64.9,Hotel Piesta
617,Tefe,BR,91.51,few clouds,-3.3542,-64.7114,Aracati Hotel
618,Santo Andre,BR,71.17,broken clouds,-23.6639,-46.5383,Blue Tree Towers All Suites Santo André
624,Kouroussa,GN,77.97,clear sky,10.65,-9.8833,Hotel Paillote
627,Tautira,PF,86.02,broken clouds,-17.7333,-149.15,Pension Oaoa
628,Talara,PE,81.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
632,Matara,LK,74.46,few clouds,5.9485,80.5353,Amaloh Boutique Resort
634,Santa Maria,BR,87.1,clear sky,-29.6842,-53.8069,Hotel Morotin
643,Carutapera,BR,76.19,light rain,-1.195,-46.02,Lidera
650,Martapura,ID,77.09,mist,-3.4167,114.85,Montana Hotel Syariah
653,Moundou,TD,77.88,overcast clouds,8.5667,16.0833,Planete Life
654,Cukai,MY,73.54,moderate rain,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
656,Pochutla,MX,85.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
658,Adeje,ES,72.48,clear sky,28.1227,-16.726,Gran Tacande Wellness & Relax
662,Lalgudi,IN,77.32,mist,10.8667,78.8333,Stephan aakash
665,Buenaventura,CO,77.94,overcast clouds,3.8801,-77.0312,La Casa Blanca Hotel
666,Ahuimanu,US,80.31,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
669,Jambi,ID,72.36,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
672,Luganville,VU,83.55,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
677,Morgan City,US,70.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
680,Nata,PA,85.87,clear sky,8.3333,-80.5167,Rey David
683,Canico,PT,70.72,broken clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
684,Pemangkat,ID,75.81,moderate rain,1.1667,108.9667,Ramah Kost KITA
689,Flic En Flac,MU,77.56,clear sky,-20.2742,57.3631,Hilton Mauritius Resort & Spa
696,Cairns,AU,77.07,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
