City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Floro,NO,61.5996,5.0328,31.96,86,75,23.02,broken clouds
80,Busselton,AU,-33.65,115.3333,62.1,61,0,2.82,clear sky
81,Daru,PG,-9.0763,143.2092,81.45,76,99,9.8,overcast clouds
82,Nelson Bay,AU,-32.7167,152.15,77.0,85,71,1.99,light rain
83,Ribeira Grande,PT,38.5167,-28.7,59.4,77,20,9.22,few clouds
84,Uvat,RU,59.1433,68.8953,-2.02,90,7,8.12,clear sky
85,Puerto Ayora,EC,-0.7393,-90.3518,82.36,88,95,5.01,overcast clouds
86,Kerrville,US,30.0474,-99.1403,70.95,24,0,6.91,clear sky
87,Thibodaux,US,29.7958,-90.8229,71.02,34,11,1.99,few clouds
88,Longyearbyen,SJ,78.2186,15.6401,24.64,74,75,3.44,broken clouds
89,Phan Thiet,VN,10.9333,108.1,72.93,81,99,5.44,overcast clouds
90,Naryan-Mar,RU,67.6713,53.087,24.69,90,100,20.11,overcast clouds
91,Belmonte,BR,-15.8631,-38.8828,82.9,83,5,7.14,clear sky
92,Fort Abbas,PK,29.1925,72.8536,57.96,34,0,5.79,clear sky
93,Ponta Do Sol,PT,32.6667,-17.1,70.72,60,100,4.12,overcast clouds
94,Cidreira,BR,-30.1811,-50.2056,74.34,81,3,18.68,clear sky
95,Rio Gallegos,AR,-51.6226,-69.2181,55.45,28,75,42.57,broken clouds
96,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,88,100,3.44,overcast clouds
97,Acapulco,MX,16.8634,-99.8901,84.02,61,75,6.91,broken clouds
98,Camana,PE,-16.6228,-72.7111,72.9,67,58,6.38,broken clouds
99,Portland,US,45.5234,-122.6762,60.46,82,100,3.44,overcast clouds
100,Bethel,US,41.3712,-73.414,51.01,48,0,14.97,clear sky
101,Ilo,PE,-17.6394,-71.3375,70.3,72,76,5.21,broken clouds
102,Half Moon Bay,US,37.4636,-122.4286,79.5,28,2,7.0,clear sky
103,San Patricio,US,28.017,-97.5169,72.54,34,100,5.17,overcast clouds
104,Fengzhen,CN,40.4394,113.1536,19.58,58,80,1.3,broken clouds
105,Vardo,NO,70.3705,31.1107,25.0,86,75,10.36,broken clouds
106,Hurghada,EG,27.2574,33.8129,55.44,47,0,10.36,clear sky
107,Port Hardy,CA,50.6996,-127.4199,48.38,81,100,4.61,overcast clouds
108,Bereda,ES,43.2686,-7.5406,49.57,100,100,1.14,overcast clouds
109,La Ronge,CA,55.1001,-105.2842,3.45,66,75,16.11,broken clouds
110,Mujiayingzi,CN,42.1167,118.7833,17.56,57,0,4.63,clear sky
111,Alofi,NU,-19.0595,-169.9187,84.09,70,40,11.5,scattered clouds
112,Helong,CN,42.5397,128.9972,18.18,87,100,5.39,overcast clouds
113,Kununurra,AU,-15.7667,128.7333,76.98,94,98,0.0,overcast clouds
114,Chicama,PE,-7.8447,-79.1469,70.34,59,66,10.13,broken clouds
115,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,27,0,16.11,clear sky
116,Mezen,RU,65.8522,44.24,23.7,90,100,12.8,overcast clouds
117,Gander,CA,48.9682,-54.5906,33.93,74,20,11.5,few clouds
118,Churapcha,RU,62.0025,132.4325,-37.16,100,92,2.89,overcast clouds
119,Ishigaki,JP,24.3448,124.1572,66.33,82,75,16.11,broken clouds
120,Verkhnyaya Inta,RU,65.9811,60.3094,17.46,78,100,12.95,overcast clouds
121,Pisco,PE,-13.7,-76.2167,78.03,69,0,8.05,clear sky
122,Andreyevo,RU,55.9465,41.1505,29.93,91,100,9.24,overcast clouds
123,Sitka,US,57.0531,-135.33,37.29,52,100,6.91,overcast clouds
124,Grand Gaube,MU,-20.0064,57.6608,77.4,77,0,1.99,clear sky
125,Abancay,PE,-13.6339,-72.8814,63.14,75,100,2.51,overcast clouds
126,Tete,MZ,-16.1564,33.5867,77.09,83,20,0.0,few clouds
127,Luwuk,ID,-0.9516,122.7875,76.64,85,82,3.24,broken clouds
128,Bengkulu,ID,-3.8004,102.2655,74.55,79,88,5.12,overcast clouds
129,Aklavik,CA,68.2191,-135.0107,-15.77,69,75,0.0,light snow
130,Mangan,IN,27.5167,88.5333,48.29,77,91,5.26,overcast clouds
131,Hilo,US,19.7297,-155.09,78.8,60,20,5.99,few clouds
132,Nkhotakota,MW,-12.9274,34.2961,72.77,87,94,3.44,light rain
133,Christchurch,NZ,-43.5333,172.6333,68.02,87,100,13.8,overcast clouds
134,Khani,GE,41.9563,42.9566,33.37,90,97,4.27,overcast clouds
135,Aksehir,TR,38.3575,31.4164,22.15,77,2,3.27,clear sky
136,Hopkinton,US,41.4612,-71.7776,51.35,56,20,12.66,few clouds
137,Awjilah,LY,29.1081,21.2869,52.86,48,5,8.61,clear sky
138,Port Lincoln,AU,-34.7333,135.8667,63.52,67,8,16.49,clear sky
139,Yar-Sale,RU,66.8333,70.8333,8.1,89,98,19.62,overcast clouds
140,Kruisfontein,ZA,-34.0033,24.7314,61.21,88,30,2.39,scattered clouds
141,Guerrero Negro,MX,27.9769,-114.0611,75.42,23,0,4.25,clear sky
142,Riyadh,SA,24.6877,46.7219,66.34,23,0,13.78,clear sky
143,Gawler,AU,-34.6,138.7333,62.22,73,81,11.45,broken clouds
144,Hay River,CA,60.8156,-115.7999,-9.42,70,75,3.44,broken clouds
145,Las Choapas,MX,17.9333,-94.0833,69.85,84,94,8.34,overcast clouds
146,San Pedro,PH,14.35,121.0167,78.35,76,40,8.05,light rain
147,Kuryk,KZ,43.2,51.65,39.31,62,100,16.04,overcast clouds
148,Hoi An,VN,15.8794,108.335,71.56,93,77,3.09,broken clouds
149,Amga,RU,60.8953,131.9608,-27.99,100,96,1.16,overcast clouds
150,Mahebourg,MU,-20.4081,57.7,77.29,94,40,2.3,scattered clouds
151,Souillac,MU,-20.5167,57.5167,77.38,94,40,2.3,light rain
152,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,92,92,9.89,overcast clouds
153,Faanui,PF,-16.4833,-151.75,81.64,74,45,16.15,scattered clouds
154,Tiksi,RU,71.6872,128.8694,-9.76,92,100,16.06,overcast clouds
155,Leticia,CO,-4.2153,-69.9406,89.65,58,40,5.75,scattered clouds
156,Bissora,GW,12.2231,-15.4475,80.67,40,1,5.64,clear sky
157,Makat,KZ,47.6469,53.3463,29.8,92,100,10.69,overcast clouds
158,Mgachi,RU,51.05,142.2667,5.49,99,100,1.81,overcast clouds
159,Bonavista,CA,48.6499,-53.1147,34.12,83,9,11.83,clear sky
160,Whitehorse,CA,60.7161,-135.0538,29.17,34,20,6.91,few clouds
161,Lompoc,US,34.6391,-120.4579,88.21,21,0,6.91,clear sky
162,Ikalamavony,MG,-21.15,46.5833,69.82,90,74,5.21,broken clouds
163,Kuytun,RU,54.3419,101.5036,-32.57,100,98,1.19,overcast clouds
164,Aswan,EG,24.0934,32.907,52.9,40,0,4.61,clear sky
165,Imbituba,BR,-28.24,-48.6703,78.82,82,27,12.33,scattered clouds
166,Chuy,UY,-33.6971,-53.4616,72.01,67,5,13.42,clear sky
167,Burnie,AU,-41.0667,145.9167,59.94,62,4,7.92,clear sky
