City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Mahebourg,MU,2022-02-10 20:34:08,-20.4081,57.7,77.29,88,40,2.3
89,Helong,CN,2022-02-10 20:34:15,42.5397,128.9972,17.94,89,100,5.06
90,Kangaatsiaq,GL,2022-02-10 20:34:16,68.3065,-53.4641,-10.1,91,100,8.34
91,Guerrero Negro,MX,2022-02-10 20:34:16,27.9769,-114.0611,75.42,23,0,4.25
92,Salalah,OM,2022-02-10 20:34:17,17.0151,54.0924,73.49,64,0,4.61
93,Busselton,AU,2022-02-10 20:34:17,-33.65,115.3333,64.09,61,0,4.0
94,Torbay,CA,2022-02-10 20:34:17,47.6666,-52.7314,39.27,82,20,8.05
95,Tadine,NC,2022-02-10 20:34:18,-21.55,167.8833,79.03,94,100,31.23
96,Albany,US,2022-02-10 20:32:08,42.6001,-73.9662,44.17,68,28,1.01
97,Deming,US,2022-02-10 20:30:52,32.2687,-107.7586,65.25,18,0,14.38
98,Alofi,NU,2022-02-10 20:34:19,-19.0595,-169.9187,84.09,74,75,6.91
99,South Lake Tahoe,US,2022-02-10 20:32:41,38.9332,-119.9844,61.86,40,0,6.91
100,Donauworth,DE,2022-02-10 20:33:43,48.7,10.8,45.12,80,99,4.0
101,Itarema,BR,2022-02-10 20:34:19,-2.9248,-39.9167,80.83,72,77,9.8
102,Awjilah,LY,2022-02-10 20:34:20,29.1081,21.2869,53.51,48,5,8.23
103,Petropavlovka,RU,2022-02-10 20:34:20,50.6114,105.3196,-22.4,93,10,2.8
104,Whitecourt,CA,2022-02-10 20:32:09,54.1502,-115.6855,43.84,39,100,32.21
105,Narsaq,GL,2022-02-10 20:34:21,60.9167,-46.05,12.42,61,79,8.84
106,Gunjur,GM,2022-02-10 20:34:21,13.2019,-16.7339,82.47,30,0,6.91
107,Dagua,CO,2022-02-10 20:34:21,3.6569,-76.6886,82.9,90,86,4.76
108,Kaitangata,NZ,2022-02-10 20:34:22,-46.2817,169.8464,60.49,85,93,3.74
109,Kencong,ID,2022-02-10 20:34:22,-8.2833,113.3667,75.67,88,100,2.24
110,Haines Junction,CA,2022-02-10 20:34:23,60.7522,-137.5108,28.35,34,42,8.05
111,Talavera,PH,2022-02-10 20:34:23,15.6167,120.9333,69.13,88,55,4.0
112,Elban,RU,2022-02-10 20:34:24,50.1018,136.5094,-7.51,97,95,3.33
113,Los Llanos De Aridane,ES,2022-02-10 20:34:24,28.6585,-17.9182,71.35,33,0,12.66
114,Saint-Philippe,RE,2022-02-10 20:34:24,-21.3585,55.7679,74.79,79,25,5.97
115,Chuy,UY,2022-02-10 20:34:25,-33.6971,-53.4616,74.77,59,7,14.09
116,Udachnyy,RU,2022-02-10 20:34:25,66.4167,112.4,-2.56,76,100,8.23
117,Bibiani,GH,2022-02-10 20:34:25,6.4635,-2.3194,80.58,41,57,4.09
118,Siniscola,IT,2022-02-10 20:34:26,40.5719,9.6922,40.55,64,0,3.87
119,Grass Valley,US,2022-02-10 20:34:26,39.2191,-121.0611,75.45,33,0,6.91
120,Cidreira,BR,2022-02-10 20:34:27,-30.1811,-50.2056,75.18,78,3,18.1
121,Naryan-Mar,RU,2022-02-10 20:34:27,67.6713,53.087,24.28,89,100,19.84
122,Binzhou,CN,2022-02-10 20:34:28,37.3667,118.0167,36.07,67,4,4.65
123,Gornopravdinsk,RU,2022-02-10 20:34:28,60.05,69.9,-0.94,90,12,8.01
124,Vanimo,PG,2022-02-10 20:34:28,-2.6741,141.3028,77.29,88,100,2.33
125,Xiaoweizhai,CN,2022-02-10 20:34:29,26.1903,107.5125,37.8,96,100,3.87
126,Nikolskoye,RU,2022-02-10 20:34:29,59.7035,30.7861,36.72,86,100,10.27
127,Vardo,NO,2022-02-10 20:32:47,70.3705,31.1107,26.58,80,75,13.8
128,Hammelburg,DE,2022-02-10 20:34:30,50.1167,9.9,43.86,89,100,8.32
129,Castro,BR,2022-02-10 20:34:30,-24.7911,-50.0119,73.67,72,28,3.69
130,Port Elizabeth,ZA,2022-02-10 20:30:31,-33.918,25.5701,64.69,82,0,3.44
131,Kualakapuas,ID,2022-02-10 20:34:31,-3.0091,114.3876,77.16,95,100,0.2
132,Chokurdakh,RU,2022-02-10 20:31:34,70.6333,147.9167,-28.66,95,40,8.7
133,Esperance,AU,2022-02-10 20:34:32,-33.8667,121.9,75.04,46,12,19.01
134,Deputatskiy,RU,2022-02-10 20:34:32,69.3,139.9,-22.49,94,98,5.84
135,Suzhou,CN,2022-02-10 20:31:47,31.3114,120.6181,44.47,80,98,6.13
136,Yulara,AU,2022-02-10 20:34:30,-25.2406,130.9889,67.84,56,0,2.3
137,Kruisfontein,ZA,2022-02-10 20:34:33,-34.0033,24.7314,61.83,86,41,2.35
138,Flinders,AU,2022-02-10 20:34:33,-34.5833,150.8552,71.19,85,90,11.99
139,San Cristobal,VE,2022-02-10 20:34:34,7.7669,-72.225,78.98,66,81,1.52
140,Port Hedland,AU,2022-02-10 20:34:34,-20.3167,118.5667,80.65,89,7,8.05
141,Antofagasta,CL,2022-02-10 20:34:34,-23.65,-70.4,72.68,59,2,6.55
142,Faya,SA,2022-02-10 20:34:35,18.3851,42.4509,59.11,85,5,5.19
143,Coria,ES,2022-02-10 20:30:51,39.9879,-6.5377,53.46,75,100,2.46
144,Inuvik,CA,2022-02-10 20:34:35,68.3499,-133.7218,-15.59,76,100,6.91
145,Longyearbyen,SJ,2022-02-10 20:34:36,78.2186,15.6401,24.64,68,75,8.05
146,General Roca,AR,2022-02-10 20:34:36,-39.0333,-67.5833,82.8,15,35,13.76
147,Qidong,CN,2022-02-10 20:34:37,31.8128,121.6561,45.03,78,93,6.53
148,Yeppoon,AU,2022-02-10 20:34:37,-23.1333,150.7333,65.98,68,0,8.41
149,Kilis,TR,2022-02-10 20:34:38,36.7161,37.115,43.03,71,97,5.77
150,Benjamin Constant,BR,2022-02-10 20:34:38,-4.3831,-70.0311,89.73,62,40,5.75
151,Barra,BR,2022-02-10 20:34:38,-11.0894,-43.1417,83.88,53,35,5.46
152,Sinnamary,GF,2022-02-10 20:34:39,5.3833,-52.95,77.9,84,54,12.5
153,Susanville,US,2022-02-10 20:34:39,40.4163,-120.653,57.67,48,0,3.44
154,Faanui,PF,2022-02-10 20:34:40,-16.4833,-151.75,81.14,75,48,16.17
155,Mwene-Ditu,CD,2022-02-10 20:34:40,-7.0,23.45,66.6,94,100,1.66
156,Turkistan,KZ,2022-02-10 20:34:41,43.0,68.0,38.79,46,100,9.73
157,Middelburg,ZA,2022-02-10 20:34:41,-25.7751,29.4648,63.99,67,56,4.32
158,Tumarbong,PH,2022-02-10 20:34:41,10.3766,119.4579,78.13,80,53,13.85
159,Aksarka,RU,2022-02-10 20:34:42,66.5606,67.7975,11.43,91,100,18.77
160,Lagoa,PT,2022-02-10 20:34:42,39.05,-27.9833,58.57,73,93,7.09
161,Mehamn,NO,2022-02-10 20:34:02,71.0357,27.8492,24.98,82,98,10.4
162,Airai,TL,2022-02-10 20:34:43,-8.9266,125.4092,60.28,92,100,1.43
163,Mana,GF,2022-02-10 20:34:43,5.6592,-53.7767,78.75,80,70,11.88
164,Bubaque,GW,2022-02-10 20:34:44,11.2833,-15.8333,79.05,77,4,12.64
165,Parati,BR,2022-02-10 20:34:44,-23.2178,-44.7131,86.9,94,98,1.07
166,Fortuna,US,2022-02-10 20:30:09,40.5982,-124.1573,80.85,49,20,1.01
167,Hasaki,JP,2022-02-10 20:34:45,35.7333,140.8333,34.2,75,100,27.76
168,Puerto Escondido,MX,2022-02-10 20:34:45,15.85,-97.0667,85.03,61,0,8.05
169,Sept-Iles,CA,2022-02-10 20:33:47,50.2001,-66.3821,29.05,94,100,8.05
170,Anloga,GH,2022-02-10 20:34:46,5.7947,0.8973,84.42,83,0,10.07
171,Hilo,US,2022-02-10 20:33:58,19.7297,-155.09,76.8,63,0,5.99
172,Lucapa,AO,2022-02-10 20:34:47,-8.4192,20.7447,65.14,96,100,3.24
173,Mwinilunga,ZM,2022-02-10 20:34:47,-11.7358,24.4293,61.5,96,96,2.15
174,Ilulissat,GL,2022-02-10 20:34:47,69.2167,-51.1,-2.18,60,75,1.14
175,Hermanus,ZA,2022-02-10 20:34:48,-34.4187,19.2345,63.9,77,0,3.0
176,Savannah Bight,HN,2022-02-10 20:34:48,16.45,-85.85,80.01,70,5,2.42
177,Talnakh,RU,2022-02-10 20:34:49,69.4865,88.3972,-2.79,96,51,11.54
178,East Ridge,US,2022-02-10 20:34:49,35.0142,-85.2519,65.1,27,40,9.22
179,Manggar,ID,2022-02-10 20:34:49,-2.8833,108.2667,77.29,84,100,8.41
180,Tiksi,RU,2022-02-10 20:34:50,71.6872,128.8694,-9.9,92,100,16.15
181,Vao,NC,2022-02-10 20:34:50,-22.6667,167.4833,81.05,88,100,39.75
182,Luderitz,NA,2022-02-10 20:34:51,-26.6481,15.1594,73.4,52,4,16.71
183,Abu Samrah,SY,2022-02-10 20:34:51,35.3029,37.1841,44.08,85,54,8.08
184,Sao Filipe,CV,2022-02-10 20:34:52,14.8961,-24.4956,78.22,54,100,6.73
185,Asau,RO,2022-02-10 20:34:52,46.4333,26.4,38.75,91,31,7.05
186,Atar,MR,2022-02-10 20:34:52,20.5169,-13.0499,72.7,14,2,12.46
187,Muswellbrook,AU,2022-02-10 20:32:12,-32.2667,150.9,64.24,86,62,6.87
188,Nampa,US,2022-02-10 20:34:53,43.5407,-116.5635,50.11,53,0,3.44
189,Camacha,PT,2022-02-10 20:34:54,33.0833,-16.3333,61.56,88,20,4.61
190,Akyab,MM,2022-02-10 20:34:54,20.15,92.9,65.95,61,7,7.96
191,Darnah,LY,2022-02-10 20:34:54,32.767,22.6367,55.18,70,14,21.54
192,Georgetown,MY,2022-02-10 20:34:55,5.4112,100.3354,78.89,92,20,1.14
193,Kirovskiy,RU,2022-02-10 20:34:55,45.0917,133.5136,0.5,100,100,1.32
194,Beira,MZ,2022-02-10 20:34:56,-19.8436,34.8389,80.69,78,20,9.22
195,Kutum,SD,2022-02-10 20:34:56,14.2,24.6667,57.7,16,0,12.5
196,Khatanga,RU,2022-02-10 20:34:56,71.9667,102.5,-5.85,98,88,13.27
197,Yako,BF,2022-02-10 20:34:57,12.9667,-2.2667,77.34,11,0,9.78
198,Kipini,KE,2022-02-10 20:34:57,-2.5257,40.5262,80.89,86,60,12.21
199,Cockburn Town,TC,2022-02-10 20:34:58,21.4612,-71.1419,77.77,74,0,16.64
200,Omboue,GA,2022-02-10 20:34:58,-1.5746,9.2618,78.04,87,100,4.97
201,Auki,SB,2022-02-10 20:34:58,-8.7676,160.7034,78.19,89,100,3.78
202,Adet,ET,2022-02-10 20:34:59,11.2644,37.4888,59.27,66,45,5.66
203,East London,ZA,2022-02-10 20:32:54,-33.0153,27.9116,70.97,81,10,4.68
204,Boali,CF,2022-02-10 20:34:59,4.8005,18.1275,80.47,18,37,3.06
205,Beatrice,US,2022-02-10 20:35:00,40.2681,-96.747,53.87,40,0,19.57
206,Mar Del Plata,AR,2022-02-10 20:31:33,-38.0023,-57.5575,84.22,85,0,25.01
207,Caravelas,BR,2022-02-10 20:35:01,-17.7125,-39.2481,79.21,79,0,7.47
208,Buala,SB,2022-02-10 20:35:01,-8.145,159.5921,79.61,82,100,6.8
209,Duluth,US,2022-02-10 20:35:01,46.7833,-92.1066,23.29,67,75,16.11
210,Port Lincoln,AU,2022-02-10 20:32:12,-34.7333,135.8667,61.68,72,8,15.3
211,San Patricio,US,2022-02-10 20:35:02,28.017,-97.5169,73.38,33,100,4.72
212,Berezovyy,RU,2022-02-10 20:35:02,51.6667,135.7,-4.7,99,88,3.67
213,Davila,PH,2022-02-10 20:35:03,18.4726,120.5763,74.86,78,37,10.4
214,Mambulo,PH,2022-02-10 20:35:03,13.7167,123.05,75.81,81,100,10.63
215,Kozhva,RU,2022-02-10 20:35:04,65.1073,57.0459,25.48,90,100,15.14
216,Pangnirtung,CA,2022-02-10 20:35:04,66.1451,-65.7125,-2.2,55,100,3.44
217,Umm Kaddadah,SD,2022-02-10 20:35:05,13.6017,26.6876,63.0,17,1,16.11
218,Tacoronte,ES,2022-02-10 20:35:05,28.4769,-16.4102,68.18,35,20,6.91
219,Pitimbu,BR,2022-02-10 20:35:06,-7.4706,-34.8086,84.79,67,63,9.69
220,Serowe,BW,2022-02-10 20:35:06,-22.3833,26.7167,68.5,71,33,1.72
221,Ancud,CL,2022-02-10 20:35:07,-41.8697,-73.8203,63.43,52,6,13.67
222,Erzin,TR,2022-02-10 20:35:07,36.9559,36.2,50.72,76,25,3.31
223,Nikolsk,RU,2022-02-10 20:35:08,53.7189,46.0712,23.9,96,100,5.39
224,Pacific Grove,US,2022-02-10 20:33:30,36.6177,-121.9166,79.81,34,0,1.99
225,Oktyabrskoye,RU,2022-02-10 20:35:08,43.0645,44.7417,23.14,100,10,4.47
226,Padang,ID,2022-02-10 20:35:09,-0.9492,100.3543,77.02,78,100,3.96
227,Zdvinsk,RU,2022-02-10 20:35:09,54.7021,78.661,-20.51,100,32,5.37
228,Havre-Saint-Pierre,CA,2022-02-10 20:35:10,50.2334,-63.5986,28.99,93,100,4.61
229,Alora,ES,2022-02-10 20:35:10,36.8236,-4.7058,53.91,89,87,2.13
230,North Bend,US,2022-02-10 20:32:39,43.4065,-124.2243,63.91,79,0,11.5
231,Sungaipenuh,ID,2022-02-10 20:35:11,-2.0833,101.3833,63.73,69,100,1.45
232,Rovenki,UA,2022-02-10 20:35:11,48.0833,39.3776,32.54,95,83,8.88
233,Abay,KZ,2022-02-10 20:35:12,49.6311,72.8539,-16.22,100,16,4.76
234,Lorengau,PG,2022-02-10 20:35:12,-2.0226,147.2712,80.1,82,100,5.75
235,Sioux Lookout,CA,2022-02-10 20:33:22,50.1001,-91.917,14.38,85,100,11.5
236,Araouane,ML,2022-02-10 20:35:13,18.9048,-3.5265,67.42,16,4,11.7
237,Berdigestyakh,RU,2022-02-10 20:35:13,62.0989,126.6992,-36.63,100,55,1.99
238,Buraydah,SA,2022-02-10 20:35:14,26.326,43.975,66.65,42,40,13.51
239,Pevek,RU,2022-02-10 20:35:14,69.7008,170.3133,-32.24,98,100,8.81
240,Parabel,RU,2022-02-10 20:35:14,58.6978,81.4825,-21.33,100,81,1.03
241,Bay-Khaak,RU,2022-02-10 20:35:15,51.1667,94.5,-24.14,96,52,2.46
242,San Quintin,MX,2022-02-10 20:35:15,30.4833,-115.95,71.89,27,0,7.65
243,Lieksa,FI,2022-02-10 20:35:16,63.3167,30.0167,26.82,93,100,11.14
244,Jumla,NP,2022-02-10 20:35:16,29.2747,82.1838,19.8,87,18,7.36
245,Taoudenni,ML,2022-02-10 20:35:17,22.6783,-3.9836,65.16,18,49,11.97
246,Adjumani,UG,2022-02-10 20:35:17,3.3779,31.7909,83.26,26,100,3.24
247,Nanortalik,GL,2022-02-10 20:32:12,60.1432,-45.2371,25.99,56,100,9.37
248,Oranjemund,NA,2022-02-10 20:32:05,-28.55,16.4333,64.08,92,4,13.56
249,Cayenne,GF,2022-02-10 20:35:18,4.9333,-52.3333,77.09,87,100,9.22
250,Am Timan,TD,2022-02-10 20:35:18,11.0297,20.2827,78.55,13,1,7.49
251,Mitsamiouli,KM,2022-02-10 20:35:19,-11.3847,43.2844,81.45,78,100,8.19
252,Chumikan,RU,2022-02-10 20:35:19,54.7183,135.315,7.97,96,100,5.79
253,Brigantine,US,2022-02-10 20:35:20,39.4101,-74.3646,57.4,33,40,13.8
254,Beinamar,TD,2022-02-10 20:35:20,8.6698,15.3813,76.69,9,66,5.95
255,Fukue,JP,2022-02-10 20:35:20,32.6881,128.8419,49.55,51,31,9.48
256,Vorukh,TJ,2022-02-10 20:35:21,39.8494,70.5838,29.12,52,97,10.49
257,Khandyga,RU,2022-02-10 20:35:21,62.6667,135.6,-40.54,100,98,0.81
258,Teutonia,BR,2022-02-10 20:35:22,-29.4481,-51.8064,88.74,58,20,4.0
259,Jalu,LY,2022-02-10 20:35:22,29.0331,21.5482,53.28,50,5,8.32
260,Conde,BR,2022-02-10 20:35:23,-7.2597,-34.9075,83.66,65,20,9.22
261,Pedernales,DO,2022-02-10 20:35:23,18.0384,-71.744,82.22,56,8,2.08
262,Clyde River,CA,2022-02-10 20:35:23,70.4692,-68.5914,-18.17,69,75,5.75
263,San Andres,CO,2022-02-10 20:31:27,12.5847,-81.7006,84.22,70,40,13.8
264,Constitucion,CL,2022-02-10 20:30:56,-35.3333,-72.4167,65.05,65,100,9.17
265,Itapetininga,BR,2022-02-10 20:35:24,-23.5917,-48.0531,73.13,68,51,12.55
266,Severo-Kurilsk,RU,2022-02-10 20:35:25,50.6789,156.125,23.85,76,85,7.67
267,Nyurba,RU,2022-02-10 20:35:25,63.2842,118.3319,-32.89,100,88,2.86
268,Saldanha,ZA,2022-02-10 20:35:25,-33.0117,17.9442,64.45,82,0,10.49
269,Lourdes,FR,2022-02-10 20:35:26,43.1,-0.05,44.08,76,0,3.44
270,Katsuura,JP,2022-02-10 20:35:26,35.1333,140.3,37.11,93,100,22.97
271,Tautira,PF,2022-02-10 20:35:27,-17.7333,-149.15,84.22,73,60,11.97
272,Zhangye,CN,2022-02-10 20:35:27,38.9342,100.4517,23.43,43,16,5.1
273,Nicoya,CR,2022-02-10 20:35:28,10.1483,-85.452,90.95,36,27,6.2
274,Sovetskiy,RU,2022-02-10 20:35:28,61.3614,63.5842,5.85,95,100,11.25
275,Ballina,AU,2022-02-10 20:35:28,-28.8667,153.5667,66.16,93,40,5.75
276,Melbu,NO,2022-02-10 20:35:29,68.5044,14.8297,33.31,100,100,18.41
277,Kaeo,NZ,2022-02-10 20:35:29,-35.1,173.7833,75.33,98,99,7.61
278,Opuwo,NA,2022-02-10 20:35:30,-18.0607,13.84,67.86,87,100,4.76
279,Bosaso,SO,2022-02-10 20:35:30,11.2842,49.1816,72.09,65,3,7.49
280,Portland,US,2022-02-10 20:33:39,45.5234,-122.6762,58.46,90,100,5.75
281,Namatanai,PG,2022-02-10 20:35:31,-3.6667,152.4333,79.72,82,97,3.0
282,Sambava,MG,2022-02-10 20:32:48,-14.2667,50.1667,75.56,90,42,4.59
283,Brownsville,US,2022-02-10 20:30:32,25.9018,-97.4975,69.91,59,100,10.36
284,Raudeberg,NO,2022-02-10 20:34:49,61.9875,5.1352,32.67,89,99,1.01
285,Tabou,CI,2022-02-10 20:35:31,4.423,-7.3528,79.45,89,3,7.38
286,Pafos,CY,2022-02-10 20:35:08,34.7667,32.4167,49.91,57,40,8.05
287,Okhotsk,RU,2022-02-10 20:32:22,59.3833,143.3,3.88,86,100,5.35
288,Brokopondo,SR,2022-02-10 20:35:32,4.75,-55.1667,79.47,77,100,7.4
289,Mollendo,PE,2022-02-10 20:35:33,-17.0231,-72.0147,72.57,69,86,7.45
290,Haapiti,PF,2022-02-10 20:35:33,-17.5667,-149.8667,83.93,71,26,12.44
291,Dawlatabad,AF,2022-02-10 20:35:33,36.4141,64.9053,48.13,50,100,4.27
292,Barcelos,PT,2022-02-10 20:35:34,41.5388,-8.6151,56.91,72,95,4.03
293,Avera,US,2022-02-10 20:35:34,33.194,-82.5271,69.39,30,40,8.16
294,Jinchang,CN,2022-02-10 20:35:35,38.4953,102.1739,21.6,62,99,6.04
295,Olga,RU,2022-02-10 20:32:07,43.7444,135.2892,18.41,92,66,3.6
